dll_name	count(c.Hash)
KERNEL32.DLL	2655
user32.dll	2010
advapi32.dll	1485
gdi32.dll	1178
shell32.dll	678
comctl32.dll	648
msvcrt.dll	639
version.dll	588
ole32.dll	515
SHLWAPI.dll	408
oleaut32.dll	356
comdlg32.dll	266
wininet.dll	171
wsock32.dll	169
ntdll.dll	156
WINMM.dll	150
userenv.dll	135
ntoskrnl.exe	121
winspool.drv	118
PSAPI.DLL	107
WS2_32.dll	100
MSIMG32.DLL	88
MPR.dll	81
SETUPAPI.dll	63
oledlg.dll	61
imagehlp.dll	54
wtsapi32.dll	51
HAL.dll	40
WINFAX.dll	39
Secur32.dll	38
RPCRT4.dll	37
CRYPT32.dll	25
gdiplus.dll	25
MSVBVM60.DLL	25
MSVCR90.dll	22
UxTheme.dll	21
CRYPTUI.DLL	21
MFC42.DLL	20
WDFLDR.SYS	20
MSVCR80.dll	20
WINTRUST.dll	19
MSVFW32.dll	17
storport.sys	16
LZ32.dll	15
USBD.SYS	15
msi.dll	14
newdev.dll	13
MSVCP90.dll	13
FLTMGR.SYS	12
IPHLPAPI.DLL	12
NETAPI32.dll	12
AMSTREAM.dll	11
NDIS.SYS	11
CLASSPNP.SYS	10
dsound.dll	9
OLEACC.dll	9
IMM32.dll	9
urlmon.dll	9
API-MS-Win-Core-ProcessThreads-L1-1-0.dll	8
NETIO.SYS	8
slc.dll	8
API-MS-Win-Core-Profile-L1-1-0.dll	8
TDI.SYS	8
API-MS-Win-Core-ErrorHandling-L1-1-0.dll	8
API-MS-Win-Core-Synch-L1-1-0.dll	8
OPENGL32.DLL	8
PCIIDEX.SYS	8
API-MS-Win-Core-SysInfo-L1-1-0.dll	8
API-MS-Win-Security-Base-L1-1-0.dll	8
API-MS-Win-Core-ProcessEnvironment-L1-1-0.dll	7
API-MS-Win-Core-Handle-L1-1-0.dll	7
PROPSYS.dll	7
API-MS-Win-Core-LibraryLoader-L1-1-0.dll	7
ASYCFILT.dll	7
TAPI32.dll	7
API-MS-Win-Core-Misc-L1-1-0.dll	7
POWRPROF.dll	6
API-MS-Win-Core-Heap-L1-1-0.dll	6
DIFXAPI.dll	6
Cabinet.dll	6
dwmapi.dll	6
API-MS-Win-Core-LocalRegistry-L1-1-0.dll	6
ksecdd.sys	6
MSVCP80.dll	5
MSCMS.DLL	5
jli.dll	5
API-MS-Win-Core-File-L1-1-0.dll	5
mscoree.dll	5
API-MS-Win-Core-String-L1-1-0.dll	4
WINSTA.DLL	4
SspiCli.dll	4
CLBCATQ.dll	4
wevtapi.dll	4
profapi.dll	4
EXPLORERFRAME.dll	4
API-MS-Win-Security-LSALookup-L1-1-0.dll	4
d3d9.dll	4
API-MS-Win-Security-SDDL-L1-1-0.dll	4
hccutils.DLL	4
CRYPTBASE.dll	4
SCESRV.DLL	4
API-MS-Win-Core-IO-L1-1-0.dll	4
MFC42u.dll	3
MSVCP60.dll	3
CFGMGR32.dll	3
fwpkclnt.sys	3
AVIFIL32.dll	3
ATL.DLL	3
XINPUT9_1_0.dll	3
mfc90u.dll	3
credui.dll	3
USP10.dll	3
MSACM32.dll	3
dbghelp.dll	3
useree.dll	3
VDMDBG.DLL	3
RASAPI32.dll	3
kernelee.dll	3
WMILIB.SYS	3
advpack.dll	2
libModuleCommon.dll	2
nvWmiShim.dll	2
MFC80U.DLL	2
libSynaptics.dll	2
MSVCP100.dll	2
API-MS-Win-Core-Debug-L1-1-0.dll	2
OSWindows.dll	2
pcwum.dll	2
MSVCR100.dll	2
Common.dll	2
xevtchn.sys	2
mfc100u.dll	2
msvcm90.dll	2
Matrix.dll	2
MFC80.DLL	2
XENUTIL.SYS	2
RESUTILS.DLL	2
QtCore4.dll	2
Dapi5.dll	2
msrpc.sys	2
SspiSrv.dll	2
QtGui4.dll	2
btosif.dll	2
HID.DLL	2
rdbss.sys	2
NTDSAPI.DLL	2
lsremora64.dll	2
USER32	2
SCSIPORT.SYS	2
irprops.cpl	2
Sysinfo.dll	2
advapiee.dll	2
query.dll	2
ShowErrMsg.dll	1
WireCore.dll	1
libgobject-2.0-0.dll	1
btwapi.dll	1
kernel32.d1ll	1
pdcurses.dll	1
MSOERT2.dll	1
NEN00,gll	1
samlib.dll	1
bxftska.sys	1
VSSAPI.DLL	1
ADMIN_CLASS_LIB.dll	1
STLang64.dll	1
libgtk-win32-2.0-0.dll	1
btwhidcs.DLL	1
mspdb80.dll	1
user32.d1ll	1
libblkmaker-0.1-0.dll	1
srvnet.sys	1
BMAPIa.DLL	1
sfc_os.dll	1
HTTPAPI.dll	1
lmubase.dll	1
FingerprintLibrary.dll	1
bthprops.cpl	1
libintl-8.dll	1
BtBalloon.dll	1
SetupUi.dll	1
msvcm80.dll	1
libblkmaker_jansson-0.1-0.dll	1
portcls.sys	1
oleautee.dll	1
wbemcomn.dll	1
NTLANMAN.DLL	1
lmupipe.dll	1
d3dxof.dll	1
eDSop.dll	1
NDISTAPI.SYS	1
XmlLite.dll	1
libgimp-2.0-0.dll	1
SRCORE.dll	1
BtAudioHelper.dll	1
ks.sys	1
API-MS-Win-Core-ThreadPool-L1-1-0.dll	1
MAPI32.dll	1
twiutorp.vzq	1
API-MS-WIN-Service-Core-L1-1-0.dll	1
PDH.DLL	1
lmumain.dll	1
API-MS-Win-Core-Interlocked-L1-1-0.dll	1
libgimpbase-2.0-0.dll	1
